area,floor,h_method,href,huxing,metro,orientation,price,renovation,square,tags,time,title,view
和平里 化工大院,顶层/5层,整租,/zufang/500017943.html,2室2厅,近30天带看  4  次,南,7600,精装,68平米,"近地铁,随时看,拎包入住,集中供暖",,和平里北街 化工大院 2室出租,
草桥 南珠苑,高楼层/21层,整租,/zufang/500017892.html,1室0厅,距离地铁草桥736米,东,4500,精装,45平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/24,草桥南珠苑精装开间  全齐随时入住,近30天带看  1  次
田村 西木小区,底层/7层,整租,/zufang/500017454.html,2室1厅,距离地铁海淀五路居361米,南北,6200,精装,54.1平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/20,海淀区 五路居地铁六号线 南北两居 西木小区,近30天带看  4  次
老山 老山西里,高楼层/16层,整租,/zufang/500017070.html,2室1厅,距离地铁八角游乐园727米,南,4300,简装,60.34平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/19,鲁谷 八角地铁 万达对面 老山西里 两居室带电梯拎包入住,近30天带看  4  次
苏州桥 海淀南路,中楼层/16层,整租,/zufang/42786872.html,1室1厅,距离地铁海淀黄庄245米,南,5500,精装,59平米,近地铁,2019/4/10,中关村 海淀区 海淀南路 一居室,近30天带看  24  次
酒仙桥 梵谷水郡,低楼层/24层,整租,/zufang/42792305.html,2室1厅,近30天带看  11  次,东南,8000,精装,94平米,"拎包入住,集中供暖",,酒仙桥梵谷水郡精装2居，邻近898新华科技恒通798,
白纸坊 考拉社区,中楼层/21层,整租,/zufang/42791432.html,1室1厅,近30天带看  13  次,东,5300,精装,57平米,"可短租,拎包入住,集中供暖",,广安门外 白纸坊 考拉社区东向一居室 看房方便 落地飘窗,
蒲黄榆 蒲黄榆四里,中楼层/6层,整租,/zufang/42791207.html,2室1厅,距离地铁蒲黄榆529米,东北,6100,精装,60平米,"近地铁,随时看",2019/4/10,蒲黄榆四里新上2居带厅，老业主，本人有有钥匙,近30天带看  13  次
双桥 双惠苑4号院,顶层/6层,整租,/zufang/42786744.html,3室1厅,距离地铁双桥477米,南,8200,精装,109.46平米,"近地铁,随时看,拎包入住",2019/4/18,朝阳双桥八通线 双惠苑 南北3室1厅看房随时拎包入住,近30天带看  9  次
通州北苑 长城国际,高楼层/20层,整租,/zufang/42776723.html,1室1厅,距离地铁果园986米,西,3800,精装,50平米,"近地铁,随时看",2019/4/7,精装婚房世纪星城一居业主直租拎包入住,近30天带看  12  次
白石桥 西外太平庄,中楼层/6层,整租,/zufang/42771686.html,1室1厅,距离地铁动物园803米,南,5800,简装,48平米,"近地铁,拎包入住,集中供暖",2019/4/7,西外太平庄 动物园宿舍 一居室 看房方便,近30天带看  12  次
白纸坊 恬心家园,高楼层/18层,整租,/zufang/42771656.html,1室1厅,距离地铁广安门内1218米,西,5800,精装,57.84平米,"近地铁,随时看,拎包入住",2019/4/6,恬心家园精装开间家具家电齐全 随时入住长租,近30天带看  11  次
草桥 草桥欣园三区,低楼层/6层,整租,/zufang/42765289.html,2室1厅,距离地铁草桥521米,南北,5500,精装,75平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/7,草桥欣园三区  正规两居室,近30天带看  9  次
苏州桥 艾瑟顿国际公寓,中楼层/25层,整租,/zufang/42765089.html,1室1厅,距离地铁苏州街284米,西,8700,精装,80平米,"近地铁,拎包入住",2019/4/6,艾瑟顿一居室 视野采光好 拎包入住,近30天带看  18  次
德胜门 新德街,底层/10层,整租,/zufang/42763799.html,2室2厅,距离地铁积水潭777米,西北,11000,精装,85.4平米,"近地铁,随时看,集中供暖",2019/4/5,积水潭 北师大二炮医院 新德街 精装两居 随时看房,近30天带看  9  次
月坛 月坛南街小四道口,底层/6层,整租,/zufang/42763403.html,1室1厅,距离地铁南礼士路1098米,南,6900,精装,48.04平米,"近地铁,随时看,拎包入住",2019/4/5,金融街 南礼士路 月坛南街北里一居室出租,近30天带看  9  次
酒仙桥 梵谷水郡,中楼层/24层,整租,/zufang/42762520.html,1室1厅,近30天带看  9  次,西南,5500,精装,45平米,"拎包入住,集中供暖",,酒仙桥梵谷水郡精装一居邻近898东风桥久隆,
五道口 科汇小区,中楼层/6层,整租,/zufang/42762168.html,2室1厅,距离地铁中关村1026米,南北,8000,精装,60平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/5,中科院家属院，科汇小区精装两居，看房提前联系,近30天带看  14  次
牡丹园 塔院消夏东里,高楼层/6层,整租,/zufang/42759627.html,2室1厅,距离地铁牡丹园562米,东西,7300,精装,65平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/13,好房，消夏东里两居室，看房随时，业主直租，能谈,近30天带看  9  次
首都机场 樱花园二区,底层/6层,整租,/zufang/42756680.html,1室1厅,近30天带看  11  次,南北,2400,简装,37平米,"随时看,拎包入住,集中供暖",,樱花园二区底层一居随时看房白菜价,
学院路 八家嘉苑,高楼层/29层,整租,/zufang/42756621.html,3室1厅,近30天带看  10  次,南北,9500,精装,94平米,"拎包入住,集中供暖",,八家嘉苑 南北透通 精装修 经济实用 三居室,
角门 怡然家园,中楼层/6层,整租,/zufang/500018630.html,1室1厅,近30天带看  2  次,南,5000,精装,58平米,"随时看,拎包入住",,怡然家园  一居出租,
八角 八角北里,中楼层/18层,整租,/zufang/42787336.html,1室1厅,距离地铁八角游乐园1260米,东南西,3600,简装,55平米,"近地铁,拎包入住,集中供暖",2019/4/9,八角北里正规一室一厅领包即住,近30天带看  17  次
芍药居 芍药居北里二区,中楼层/24层,整租,/zufang/42780363.html,3室1厅,距离地铁望京西1102米,东南,8500,精装,110平米,"近地铁,拎包入住,集中供暖",2019/4/8,芍药居北里精装三居 家具家电齐全 紧邻芍药居地铁站 拎包入住,近30天带看  102  次
芍药居 芍药居2号院,底层/7层,整租,/zufang/42777455.html,2室1厅,距离地铁芍药居247米,南北,7000,精装,74平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/7,《月付好房源》芍药居精装两居 地铁10 13号线 拎包入住,近30天带看  28  次
小西天 索家坟,中楼层/6层,整租,/zufang/42775831.html,1室1厅,距离地铁西直门1164米,南北,6500,精装,45.4平米,"近地铁,集中供暖",2019/4/7,索家坟小区精装一居室,近30天带看  19  次
芍药居 芍药居2号院,高楼层/7层,整租,/zufang/42775020.html,2室1厅,距离地铁芍药居247米,南北,7200,简装,57.78平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/10,《芍药居地铁旁精装两居出租》 太阳宫 对外经贸 中日友好,近30天带看  41  次
中关村 东南小区,中楼层/5层,整租,/zufang/42774459.html,2室1厅,距离地铁海淀黄庄591米,南北,9000,精装,68平米,"近地铁,拎包入住,集中供暖",2019/4/7,中关村东南小区正规两居室长租,近30天带看  97  次
中关村 科育小区,顶层/5层,整租,/zufang/42764931.html,2室1厅,距离地铁中关村479米,南北,8800,精装,60平米,"近地铁,随时看,拎包入住",2019/4/9,科育小区精装两居 邻近一 小 搜狐 融科喜欢距离就来吧,近30天带看  38  次
望京 宝星园,中楼层/23层,整租,/zufang/42762211.html,2室1厅,距离地铁望京东612米,东南,13000,精装,106平米,"近地铁,随时看,可短租,拎包入住",2019/4/5,稀有户型，宝星园精装两居，老业主诚意出租，家私齐全，临望京东,近30天带看  19  次
五道口 褐石,中楼层/5层,整租,/zufang/42761318.html,2室1厅,近30天带看  23  次,南北,19000,精装,101平米,"拎包入住,集中供暖",,清华北褐石精装两居家具齐全拎包住长租,
芍药居 芍药居北里一区,中楼层/7层,整租,/zufang/42756323.html,2室1厅,距离地铁芍药居1068米,东西,6700,精装,57.4平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/10,"芍药居地铁,对外经贸,中日医院,北服,惠新,",近30天带看  37  次
惠新西街 小关东街,顶层/6层,整租,/zufang/42755783.html,2室1厅,距离地铁安贞门406米,南北,6700,精装,72平米,"近地铁,可短租,拎包入住,集中供暖",2019/4/6,环宇荟精装修两居室 家具家电齐全 近安贞门地铁站 拎包入住,近30天带看  17  次
芍药居 芍药居北里一区,低楼层/14层,整租,/zufang/42755393.html,1室1厅,距离地铁芍药居1068米,南北,5700,精装,58平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/10,芍药居地铁站 世奥国际 居然之家 育慧南路 看房方便,近30天带看  30  次
五道口 大通成府公馆,中楼层/7层,整租,/zufang/42737255.html,2室2厅,距离地铁五道口596米,南西北,15800,豪装,98平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/4,清华南门精装大两居出租 家具家电可配置 有钥匙 价钱可谈,近30天带看  23  次
龙泽 融泽嘉园6号院,低楼层/31层,整租,/zufang/42717540.html,2室1厅,距离地铁龙泽893米,南,6300,精装,87平米,"近地铁,随时看,拎包入住,集中供暖",2019/3/29,精装两居融泽嘉园 西二旗大街上地十街 软件园百度,近30天带看  19  次
四季青 曙光花园望山园,底层/18层,整租,/zufang/42709656.html,3室1厅,距离地铁车道沟676米,东南,13000,精装,143平米,"近地铁,随时看,拎包入住",2019/3/28,车道沟曙光花园望山园 精装大三居出租 随时看房 拎包入住,近30天带看  21  次
龙泽 龙泽苑西区,高楼层/25层,整租,/zufang/42708306.html,1室1厅,距离地铁龙泽271米,北,5000,简装,45平米,"近地铁,拎包入住,集中供暖",2019/3/28,龙泽苑西区 一居室 包物业取暖 业主直租 13号线回龙观,近30天带看  25  次
望京 圣馨大地家园,中楼层/33层,整租,/zufang/42702766.html,3室2厅,距离地铁望京661米,东南,13000,精装,143平米,"近地铁,拎包入住,集中供暖",2019/3/29,圣馨大地 高端社区精装修 随时看房随时入住,近30天带看  28  次
双榆树 双榆树北里,顶层/6层,整租,/zufang/42700664.html,1室1厅,近30天带看  21  次,南,6800,精装,50平米,"近地铁,拎包入住,集中供暖",,双榆树北里新上大一居紧邻中航广场、人大地铁看房联系,
右安门内 白纸坊西街25号院,底层/6层,整租,/zufang/42691763.html,2室1厅,距离地铁陶然亭1263米,南北,6200,精装,62平米,"近地铁,随时看,拎包入住",2019/3/27,白纸坊西街25号院 南北通透两居 精装修 低楼层,近30天带看  20  次
五棵松 六建大院,低楼层/16层,整租,/zufang/42666543.html,1室1厅,距离地铁五棵松387米,南,5500,精装,43平米,"近地铁,随时看,拎包入住,集中供暖",2019/3/21,五棵松地铁口 六建大院 有电梯  有钥匙看房随时,近30天带看  24  次
月坛 三里河三区,低楼层/6层,整租,/zufang/42654111.html,2室1厅,距离地铁木樨地479米,东西,7000,简装,57平米,"近地铁,拎包入住,集中供暖",2019/3/21,三里河三区 中层两居 小区环境好 可看房,近30天带看  18  次
七里庄 望园西里,底层/6层,整租,/zufang/42608893.html,2室1厅,距离地铁大井643米,南北,5400,简装,60平米,"近地铁,随时看,可短租,拎包入住",2019/3/14,七里庄 六里桥 西局 泥洼望园西里正规两室,近30天带看  25  次
双榆树 知春东里,顶层/6层,整租,/zufang/42605724.html,3室1厅,距离地铁知春里373米,南北,11500,精装,75.2平米,"近地铁,随时看",2019/3/15,知春东里 南北向三居室  随时看房近地铁,近30天带看  40  次
德胜门 北广家园,顶层/16层,整租,/zufang/42584163.html,1室1厅,距离地铁安德里北街1054米,东,5500,精装,38.71平米,"近地铁,集中供暖",2019/4/18,黄寺大街 北广家园 一室一厅,近30天带看  18  次
双榆树 青年公寓,中楼层/18层,整租,/zufang/42580370.html,1室1厅,距离地铁人民大学485米,北,6000,精装,45平米,"近地铁,随时看,拎包入住,集中供暖",2019/3/10,双榆树，青年公寓一室一厅一卫,近30天带看  21  次
中关村 东南小区,中楼层/6层,整租,/zufang/42567302.html,3室1厅,距离地铁海淀黄庄591米,南北,12000,精装,72平米,"近地铁,随时看,拎包入住,集中供暖",2019/3/8,中关村 东南小区 三居室 楼层好 随时看房,近30天带看  77  次
三里屯 北三里屯社区,顶层/5层,整租,/zufang/42536711.html,2室1厅,距离地铁农业展览馆731米,南北,7800,精装,63平米,"近地铁,随时看",2019/3/14,三里屯精装两居，明厨明卫。拎包入住,近30天带看  17  次
通州北苑 长城国际,中楼层/21层,整租,/zufang/42524548.html,1室1厅,距离地铁果园986米,西,3500,精装,48平米,"近地铁,随时看,拎包入住,集中供暖",2019/3/4,长城国际新上业主直租精装大开间，,近30天带看  18  次
苏州桥 小南庄,低楼层/6层,整租,/zufang/500027489.html,2室1厅,距离地铁苏州街1027米,南北,5500,简装,65.7平米,近地铁,2019/4/24,中关村 苏州桥 人大西门 两居 5500,近30天带看  2  次
学院路 城华园,中楼层/27层,整租,/zufang/500026515.html,1室1厅,近30天带看  2  次,南,5800,精装,47平米,"近地铁,随时看",,学院路 六道口城华园 新上南向一居房东直租 拎包入住,
亚运村小营 亚运豪庭,高楼层/26层,整租,/zufang/500020951.html,2室1厅,近30天带看  4  次,西北,12000,豪装,93平米,"随时看,拎包入住",,小营路、新上豪装大两居、业主第一次租、看房随时。,
五道口 华清嘉园,中楼层/20层,整租,/zufang/500020599.html,2室1厅,距离地铁五道口259米,东北,15000,豪装,95平米,"近地铁,随时看",2019/4/21,五道口 清华科技园 华清嘉园 东升园精装大两居 紧邻龒餼号线,近30天带看  5  次
公主坟 颐源居,高楼层/28层,整租,/zufang/500020512.html,2室2厅,距离地铁公主坟933米,东南,11500,精装,109平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/21,公主坟地铁1号线 10号线颐源居精装修2居室出租万寿路,近30天带看  4  次
长椿街 三庙街,中楼层/6层,整租,/zufang/500020468.html,2室1厅,距离地铁长椿街212米,南北,7000,精装,60平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/21,新上三庙街，南北通透两居室，随时看房,近30天带看  3  次
安贞 安贞西里二区,中楼层/6层,整租,/zufang/500020405.html,1室1厅,距离地铁北土城434米,东西,4500,精装,61.3平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/21,安贞西里便宜一居 近邻地铁 可长租 安贞医院 环宇荟,近30天带看  2  次
五道口 褐石,底层/5层,整租,/zufang/500019170.html,3室2厅,近30天带看  1  次,南北,32000,精装,270平米,"拎包入住,集中供暖",,清华北门 褐石园别墅 平层豪装大三居 业主自住,
北苑 北京青年城,中楼层/6层,整租,/zufang/500019065.html,2室1厅,距离地铁北苑1445米,南,7000,精装,99平米,"近地铁,拎包入住,集中供暖",2019/4/20,北京青年城正规两居室出租 家具家电齐全 拎包入住,近30天带看  1  次
成寿寺 四方景园三区,低楼层/17层,整租,/zufang/500018398.html,2室1厅,距离地铁方庄1068米,南北,6500,简装,90平米,"近地铁,随时看",2019/4/21,(急租）押一付一业主直租 无物业费 诚意出租,近30天带看  2  次
月坛 三里河二区,高楼层/18层,整租,/zufang/500018281.html,2室1厅,近30天带看  2  次,南,12000,精装,76.3平米,"随时看,拎包入住,集中供暖",,三里河二区精装两居室，紧邻金融街复兴门南礼士路月坛阜成门,
广安门 荣丰2008,高楼层/10层,整租,/zufang/500018194.html,1室1厅,近30天带看  3  次,南,5400,精装,32平米,"拎包入住,集中供暖",,广安门达官营 荣丰2008复式 二期南向 双卫,
德胜门 观河锦苑,顶层/12层,整租,/zufang/500017519.html,2室1厅,距离地铁积水潭404米,东北,9500,精装,90平米,"近地铁,随时看",2019/4/20,观河锦苑 两居室 带电梯 可长租,近30天带看  1  次
月坛 复兴门北大街,中楼层/20层,整租,/zufang/500017478.html,2室1厅,距离地铁复兴门303米,南,9000,精装,70平米,"近地铁,拎包入住",2019/4/23,金融街，南礼士路，月坛，复兴门北大街精装两居室，提前联系,近30天带看  3  次
惠新西街 樱花园,中楼层/16层,整租,/zufang/42764281.html,2室1厅,距离地铁惠新西街南口398米,东北,6800,精装,70平米,"近地铁,拎包入住,集中供暖",2019/4/5,樱花园出租婚房两居室 惠新西街南口 中日友好医院,近30天带看  47  次
望京 东洲家园,高楼层/22层,整租,/zufang/42774322.html,2室1厅,近30天带看  14  次,南北,6600,简装,88平米,"随时看,可短租,拎包入住",,地铁14号线来广营站 精装修适合附近上班族 邻朝来，太极，,
七里庄 庄维花园一期,高楼层/24层,整租,/zufang/42733127.html,2室1厅,距离地铁七里庄406米,东南,6500,精装,88平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/4,9号线七里庄 庄维花园两居室 拎包入住 临近地铁,近30天带看  21  次
望京 望京新城,高楼层/30层,整租,/zufang/42787896.html,3室1厅,距离地铁望京555米,南,10000,精装,107.5平米,"近地铁,随时看",2019/4/18,望京新城正规三居室 随时入住 看房随时 南北通透,近30天带看  16  次
双井 百环家园,顶层/26层,整租,/zufang/42769423.html,3室1厅,距离地铁双井421米,东北,9500,豪装,137.3平米,"近地铁,拎包入住",2019/4/6,双井，十号线，百环家园房子出租,近30天带看  11  次
芍药居 芍药居北里三区,顶层/6层,整租,/zufang/42771235.html,1室1厅,距离地铁芍药居760米,南,6200,精装,55平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/7,芍药居精装朝南一居 紧邻地铁 出行方便 看房提前联系,近30天带看  41  次
知春路 知春路2号院,底层/6层,整租,/zufang/500014004.html,3室1厅,距离地铁西土城169米,南北,9100,精装,73.5平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/18,地铁西土城站  知春路2号院三居 随时看房,近30天带看  11  次
中关村 东南小区,中楼层/6层,整租,/zufang/500015762.html,2室1厅,距离地铁海淀黄庄591米,南北,8000,精装,62.3平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/19,东南 科育  南北两居临近搜狐融科不临街黄金楼 有车位,近30天带看  81  次
回龙观 国仕汇,低楼层/15层,整租,/zufang/42795509.html,2室1厅,近30天带看  9  次,南,5000,精装,81平米,"随时看,拎包入住",,回龙观国仕汇精装修大一居 随时看房 紧邻13号线龙泽地铁,
五道口 地质大学,中楼层/12层,整租,/zufang/42789597.html,3室1厅,距离地铁五道口848米,南北,12000,精装,77平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/13,五道口地铁 地大校内 温馨三居 拎包入住,近30天带看  15  次
学院路 城华园,低楼层/27层,整租,/zufang/42788420.html,1室1厅,近30天带看  9  次,南,6500,简装,50.71平米,"近地铁,集中供暖",,六道口 圣熙八号 城华园 开间一居随时住随时看,
花乡 鸿业兴园二区,高楼层/18层,整租,/zufang/42788408.html,2室1厅,距离地铁丰台南路934米,南北,6500,简装,89平米,"近地铁,随时看",2019/4/10,总部基地、科技园、天坛医院、两居、长期出租、业主直租,近30天带看  10  次
望京 星源国际,低楼层/30层,整租,/zufang/42784320.html,3室1厅,距离地铁望京414米,南北,17500,精装,157平米,"近地铁,随时看,集中供暖",2019/4/9,地铁望京站可办公用，大面积，大空间,近30天带看  10  次
丰益桥 周庄子家园,低楼层/29层,整租,/zufang/42778687.html,1室1厅,距离地铁泥洼452米,南,5800,精装,64平米,"近地铁,随时看",2019/4/12,丽泽桥七里庄西局精装一居室,近30天带看  10  次
立水桥 溪城家园2号院,高楼层/15层,整租,/zufang/42777456.html,2室1厅,距离地铁立水桥南1044米,南,6200,简装,82平米,"近地铁,随时看,拎包入住",2019/4/10,立水桥溪城家园精装两居室，随时看房，拎包入住，下楼公交站,近30天带看  11  次
望京 望京花园西区,中楼层/24层,整租,/zufang/42774346.html,2室1厅,距离地铁东湖渠497米,东北,8500,简装,85平米,"近地铁,拎包入住,集中供暖",2019/4/8,老业主直租望京花园西区温馨两居，看好可谈,近30天带看  12  次
古城 古城南路小区,顶层/5层,整租,/zufang/42765513.html,2室1厅,距离地铁古城199米,南北,4500,简装,56.1平米,"近地铁,集中供暖",2019/4/6,古城地铁口 古城南路小区 两居室出租 南北向,近30天带看  16  次
亚运村 安慧北里逸园,中楼层/26层,整租,/zufang/42763718.html,2室2厅,距离地铁大屯路东500米,南,8500,简装,101平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/8,亚运村 安慧北里逸园大两居 紧邻地铁站 家电齐全,近30天带看  16  次
双榆树 满庭芳园,高楼层/24层,整租,/zufang/42763706.html,3室2厅,距离地铁人民大学835米,东北,15000,精装,117平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/5,满庭芳园精装修三居室，已装修完半年，少有新装长期出租,近30天带看  15  次
西直门 交大嘉园,中楼层/19层,整租,/zufang/42762258.html,3室1厅,距离地铁西直门1091米,东,9500,精装,82平米,"近地铁,随时看",2019/4/5,西直门交大嘉园居家两居,近30天带看  11  次
四惠 通惠家园惠民园,高楼层/6层,整租,/zufang/42760993.html,2室1厅,近30天带看  12  次,南北,7500,简装,88平米,"近地铁,随时看,拎包入住,集中供暖",,四惠东通惠家园南北通透大两居近地铁采光棒,
望京 南湖东园一区,低楼层/28层,整租,/zufang/42759646.html,2室1厅,距离地铁望京509米,东南,8500,简装,89平米,"近地铁,拎包入住,集中供暖",2019/4/5,地铁望京站 南湖东园两居室 配置齐全,近30天带看  16  次
崇文门 新景家园东区,中楼层/15层,整租,/zufang/42757774.html,3室2厅,距离地铁磁器口517米,南北,18000,精装,154.95平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/5,磁器口地铁旁5/7号线新景家园三期大三居看房方便,近30天带看  10  次
玉泉营 三环新城7号院,高楼层/31层,整租,/zufang/42756352.html,2室1厅,距离地铁丰台站451米,东西,6500,精装,78.62平米,"近地铁,随时看",2019/4/6,十号线 丰台站 三环新城7号院 精装两居 看房方便,近30天带看  12  次
崇文门 新裕家园,高楼层/16层,整租,/zufang/42755747.html,2室1厅,距离地铁磁器口323米,南,12500,精装,93.37平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/5,崇文门磁器口南向两居,近30天带看  14  次
灯市口 锡拉胡同21号院,高楼层/6层,整租,/zufang/500027233.html,2室1厅,距离地铁灯市口900米,东西,8600,精装,58平米,"近地铁,集中供暖",2019/4/22,东华门 东单 灯市口锡拉胡同两居室,近30天带看  2  次
清河 清缘里小区,高楼层/10层,整租,/zufang/42752804.html,3室1厅,距离地铁永泰庄985米,南北,8000,精装,100平米,"近地铁,随时看",2019/4/4,龙岗路永辉超市对面清缘里小区三居室家电全齐看房有钥匙拎包住,近30天带看  9  次
蒲黄榆 刘家窑东里,中楼层/18层,整租,/zufang/42749768.html,2室1厅,距离地铁蒲黄榆447米,西南,6000,精装,61平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/3,蒲黄榆刘家窑地铁站附近出现精装大两居采光好看房方便,近30天带看  9  次
牡丹园 北影小区,顶层/12层,整租,/zufang/42748275.html,3室1厅,距离地铁西土城497米,南北,9800,精装,80平米,"近地铁,随时看",2019/4/5,北影 精装修3居 交通便利长租设施完善,近30天带看  10  次
西直门 交大嘉园,高楼层/19层,整租,/zufang/42746121.html,3室1厅,距离地铁西直门1091米,东南,12000,简装,108平米,"近地铁,随时看",2019/4/3,西直门交大嘉园108平三居 近交大东路卫生部长河湾,近30天带看  9  次
古城 古城路,顶层/4层,整租,/zufang/42744478.html,1室1厅,距离地铁古城420米,南,3200,简装,26.61平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/2,古城路 中装小一居 拎包入住,近30天带看  10  次
学院路 清华东路27号院,顶层/6层,整租,/zufang/42743402.html,2室1厅,距离地铁六道口233米,南北,6900,简装,60平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/4,六道口地铁站旁、清华东路27号院简单装修两居室,近30天带看  13  次
厂洼 厂洼街1号院,中楼层/6层,整租,/zufang/42743019.html,1室1厅,距离地铁车道沟1186米,南北,7000,精装,44平米,"近地铁,随时看,拎包入住,集中供暖",2019/4/3,新业主出租，精装修，有钥匙，随时看房,近30天带看  16  次
龙泽 新龙城,低楼层/20层,整租,/zufang/42738724.html,3室1厅,距离地铁龙泽438米,南北,7800,精装,90平米,"近地铁,随时看",2019/4/2,新龙城业主自住三居室 13号回龙观站 华联 家电齐全,近30天带看  12  次
金宝街 赵堂子胡同,中楼层/7层,整租,/zufang/42738717.html,1室1厅,距离地铁建国门785米,南,6600,精装,48平米,"近地铁,随时看,可短租,集中供暖",2019/4/2,赵堂子朝南一居带车位入住可做保洁 建国门金宝街外交部街,近30天带看  9  次
